iter	Logloss
0	0.5706104375
1	0.4640798593
2	0.3849236791
3	0.3318315704
4	0.2950668792
5	0.2783274665
6	0.257672344
7	0.2485146603
8	0.240760883
9	0.2315078259
10	0.2184544773
11	0.2126473147
12	0.2079444871
13	0.2043572636
14	0.1979674942
15	0.1946061015
16	0.1911864397
17	0.1886541096
18	0.1850833626
19	0.1834327672
20	0.1817424897
21	0.1802131384
22	0.1788597787
23	0.1778380738
24	0.1765125007
25	0.1756175324
26	0.1748159674
27	0.1732384439
28	0.1724215729
29	0.1713047136
30	0.1704743664
31	0.1698777907
32	0.1691662973
33	0.1685385797
34	0.1679467889
35	0.1675101127
36	0.1671021706
37	0.1666765376
38	0.1658641346
39	0.165382427
40	0.1649568835
41	0.1644158479
42	0.1638647742
43	0.1629707108
44	0.1624668927
45	0.1621959752
46	0.1617477256
47	0.1611926621
48	0.160506002
49	0.1597885503
50	0.159441365
51	0.1589945286
52	0.1582841372
53	0.1577566937
54	0.1571743876
55	0.1567869037
56	0.1563870721
57	0.1561429222
58	0.1558773611
59	0.1556389375
60	0.1550508438
61	0.1547822301
62	0.1542120536
63	0.1538463033
64	0.1533104511
65	0.1528642905
66	0.1524382474
67	0.1522244763
68	0.151657766
69	0.1513150433
70	0.1510002489
71	0.1507830524
72	0.1492523854
73	0.1486357372
74	0.1481210761
75	0.1477146936
76	0.147402694
77	0.1471060387
78	0.1467643841
79	0.1461082811
80	0.1457733978
81	0.1456206975
82	0.1453735665
83	0.1449952322
84	0.1443648272
85	0.1439108738
86	0.1436783925
87	0.1435428937
88	0.1431740332
89	0.1429131379
90	0.1426303862
91	0.1424158955
92	0.1421355169
93	0.1419066263
94	0.1416900376
95	0.1414503588
96	0.1411038909
97	0.1408112639
98	0.1404665241
99	0.1401877937
100	0.1399022901
101	0.1396071126
102	0.1394777167
103	0.1392615584
104	0.1390886491
105	0.1388204809
106	0.1385690726
107	0.1383492944
108	0.138025611
109	0.1378059657
110	0.1376204698
111	0.1374819598
112	0.1371256962
113	0.1369772647
114	0.1366558539
115	0.1364266286
116	0.1362929242
117	0.1360178948
118	0.1357760278
119	0.1356844325
120	0.1355058511
121	0.1351887452
122	0.134969394
123	0.1348168922
124	0.1346241479
125	0.1344591487
126	0.1342041487
127	0.134025894
128	0.1336118509
129	0.1332979469
130	0.133135947
131	0.1328215375
132	0.132665802
133	0.132447991
134	0.1323342
135	0.1321514656
136	0.1319269149
137	0.1317372786
138	0.1312879171
139	0.1311115748
140	0.1305962366
141	0.1303905126
142	0.1301225152
143	0.1298237904
144	0.129539762
145	0.1293257288
146	0.1290890813
147	0.1289047358
148	0.1287804437
149	0.1286075112
150	0.128403315
151	0.1281710134
152	0.1279481929
153	0.1277454927
154	0.1274987592
155	0.127307478
156	0.1270978753
157	0.1269006977
158	0.1266668737
159	0.1263406172
160	0.1260875641
161	0.1259318443
162	0.1256676989
163	0.1255547326
164	0.1254149623
165	0.1252713187
166	0.1250980394
167	0.1248853819
168	0.1247151092
169	0.1244805757
170	0.1242739613
171	0.1240986532
172	0.1238368356
173	0.1236941132
174	0.1235063629
175	0.123352769
176	0.1231562089
177	0.1229776152
178	0.1227622975
179	0.1226729487
180	0.1225040192
181	0.1223987466
182	0.1222036691
183	0.1220370342
184	0.121734749
185	0.1215205901
186	0.1212986636
187	0.1211817233
188	0.1210253243
189	0.1208648571
190	0.1206931434
191	0.12051422
192	0.1203357154
193	0.1201328314
194	0.1199800558
195	0.1198006423
196	0.1196109028
197	0.1194936649
198	0.1192899372
199	0.1191349912
200	0.1188711297
201	0.1186394291
202	0.1184646523
203	0.1183247474
204	0.118191552
205	0.1180549115
206	0.1177853581
207	0.1176620713
208	0.1175616496
209	0.1173832591
210	0.1172044477
211	0.1170693108
212	0.1169414812
213	0.116770329
214	0.1166139054
215	0.1165336094
216	0.1163719386
217	0.1162375775
218	0.1160988534
219	0.1158911726
220	0.1157628062
221	0.1154037269
222	0.1151783304
223	0.1150315353
224	0.1148634894
225	0.1145574258
226	0.1144072877
227	0.1142946342
228	0.1141478326
229	0.1140698414
230	0.1139347068
231	0.1138408457
232	0.1137597673
233	0.1135422238
234	0.1133426729
235	0.1131864689
236	0.1130630604
237	0.1129340761
238	0.1127915293
239	0.1127052063
240	0.112553423
241	0.1123990957
242	0.1121819897
243	0.1120800445
244	0.1118556231
245	0.1117453111
246	0.1115984515
247	0.1114210426
248	0.1112972068
249	0.111175561
250	0.1110557195
251	0.1109068101
252	0.1107637133
253	0.1106315783
254	0.1104791839
255	0.1104054267
256	0.1102629955
257	0.1101471364
258	0.109966217
259	0.1098135227
260	0.1096618539
261	0.1095408863
262	0.1093442746
263	0.1092220592
264	0.1091546363
265	0.1089722264
266	0.1087792682
267	0.1086353963
268	0.108534367
269	0.1084243226
270	0.1083195776
271	0.1082064453
272	0.1081102186
273	0.1080376642
274	0.1079553864
275	0.107864349
276	0.1077707567
277	0.1075885171
278	0.1073951603
279	0.1072466186
280	0.107180266
281	0.107094482
282	0.1068918761
283	0.106785986
284	0.1066404138
285	0.1065770387
286	0.106384205
287	0.1063101131
288	0.1061595035
289	0.1060529198
290	0.1059434067
291	0.1058294353
292	0.105702103
293	0.1055564125
294	0.1054049637
295	0.1051801877
296	0.1050440338
297	0.1049285038
298	0.1047169196
299	0.1046673074
300	0.1045830285
301	0.1045053292
302	0.1043954382
303	0.1043083552
304	0.1041991939
305	0.1040582728
306	0.1039220601
307	0.1038404365
308	0.1037108511
309	0.1035698613
310	0.1034755458
311	0.1033762375
312	0.1033306108
313	0.1032267598
314	0.1031456888
315	0.1030363571
316	0.1028389441
317	0.1026974898
318	0.1025685009
319	0.1024483709
320	0.102321654
321	0.1022169284
322	0.1020575764
323	0.1018844603
324	0.1017616678
325	0.1016872481
326	0.1015221606
327	0.1013350428
328	0.101260469
329	0.1011568149
330	0.1010381764
331	0.1009244924
332	0.1007712404
333	0.1006582054
334	0.100531502
335	0.1004397444
336	0.1003251179
337	0.1002205768
338	0.1001109626
339	0.1000338518
340	0.09985150724
341	0.09973878485
342	0.09963016048
343	0.0994939335
344	0.09939961953
345	0.09921721418
346	0.09906854557
347	0.09897113173
348	0.09878550999
349	0.09868847134
350	0.09858509913
351	0.09845838226
352	0.0983334724
353	0.09823218056
354	0.09813901461
355	0.09805070787
356	0.09791380035
357	0.09786351786
358	0.09779479457
359	0.09766362706
360	0.09754456116
361	0.09747374405
362	0.09738678789
363	0.09727661907
364	0.09717165656
365	0.09706301682
366	0.09692940616
367	0.09684102112
368	0.09676929218
369	0.0966791027
370	0.09654521379
371	0.09645002111
372	0.09635405976
373	0.09624945791
374	0.0961345271
375	0.09607035896
376	0.095972714
377	0.09592085648
378	0.09577709192
379	0.09567647836
380	0.09555601757
381	0.09543490505
